id,movie,rank
3291345427,The Empire Strikes Back,2
3291345427,Return of the Jedi,3
3291330710,The Phantom Menace,6
3291330710,Attack of the Clones,5
3291330710,Revenge of the Sith,4
3291330710,A New Hope,2
3291330710,The Empire Strikes Back,3
3291330710,Return of the Jedi,1
3291320154,The Phantom Menace,4
3291320154,Attack of the Clones,5
3291320154,Revenge of the Sith,6
3291320154,A New Hope,2
3291320154,The Empire Strikes Back,3
3291320154,Return of the Jedi,1
3291262515,The Phantom Menace,4
3291262515,Attack of the Clones,5
3291262515,Revenge of the Sith,6
3291262515,A New Hope,3
3291262515,The Empire Strikes Back,1
3291262515,Return of the Jedi,2
3291233218,The Phantom Menace,4
3291233218,Attack of the Clones,3
3291233218,Revenge of the Sith,5
3291233218,A New Hope,6
3291233218,The Empire Strikes Back,1
3291233218,Return of the Jedi,2
3291206864,The Phantom Menace,3
3291206864,Attack of the Clones,1
3291206864,Revenge of the Sith,2
3291206864,A New Hope,4
3291206864,The Empire Strikes Back,5
3291206864,Return of the Jedi,6
3291184745,The Phantom Menace,4
3291184745,Attack of the Clones,5
3291184745,Revenge of the Sith,6
3291184745,A New Hope,2
3291184745,The Empire Strikes Back,1
3291184745,Return of the Jedi,3
3291181010,The Phantom Menace,6
3291181010,Attack of the Clones,5
3291181010,Revenge of the Sith,4
3291181010,A New Hope,3
3291181010,The Empire Strikes Back,1
3291181010,Return of the Jedi,2
3291141478,The Phantom Menace,1
3291141478,Attack of the Clones,2
3291141478,Revenge of the Sith,3
3291141478,A New Hope,6
3291141478,The Empire Strikes Back,5
3291141478,Return of the Jedi,4
3291119656,The Phantom Menace,3
3291119656,Attack of the Clones,1
3291119656,Revenge of the Sith,2
3291119656,A New Hope,4
3291119656,The Empire Strikes Back,5
3291119656,Return of the Jedi,6
3291101925,The Phantom Menace,6
3291101925,Attack of the Clones,4
3291101925,Revenge of the Sith,2
3291101925,A New Hope,5
3291101925,The Empire Strikes Back,3
3291101925,Return of the Jedi,1
3291077381,The Phantom Menace,5
3291077381,Attack of the Clones,6
3291077381,Revenge of the Sith,4
3291077381,A New Hope,2
3291077381,The Empire Strikes Back,1
3291077381,Return of the Jedi,3
3291075212,The Phantom Menace,6
3291075212,Attack of the Clones,5
3291075212,Revenge of the Sith,4
3291075212,A New Hope,2
3291075212,The Empire Strikes Back,1
3291075212,Return of the Jedi,3
3291063226,The Phantom Menace,5
3291063226,Attack of the Clones,6
3291063226,Revenge of the Sith,4
3291063226,A New Hope,1
3291063226,The Empire Strikes Back,2
3291063226,Return of the Jedi,3
3291056296,The Phantom Menace,5
3291056296,Attack of the Clones,6
3291056296,Revenge of the Sith,4
3291056296,A New Hope,1
3291056296,The Empire Strikes Back,2
3291056296,Return of the Jedi,3
3291052728,The Phantom Menace,5
3291052728,Attack of the Clones,6
3291052728,Revenge of the Sith,4
3291052728,A New Hope,1
3291052728,The Empire Strikes Back,2
3291052728,Return of the Jedi,3
3291051343,The Phantom Menace,5
3291051343,Attack of the Clones,6
3291051343,Revenge of the Sith,4
3291051343,A New Hope,2
3291051343,The Empire Strikes Back,1
3291051343,Return of the Jedi,3
3291045360,The Phantom Menace,6
3291045360,Attack of the Clones,5
3291045360,Revenge of the Sith,4
3291045360,A New Hope,1
3291045360,The Empire Strikes Back,3
3291045360,Return of the Jedi,2
3291043176,The Phantom Menace,4
3291043176,Attack of the Clones,5
3291043176,Revenge of the Sith,6
3291043176,A New Hope,1
3291043176,The Empire Strikes Back,2
3291043176,Return of the Jedi,3
3291042516,The Phantom Menace,3
3291042516,Attack of the Clones,4
3291042516,Revenge of the Sith,5
3291042516,A New Hope,6
3291042516,The Empire Strikes Back,1
3291042516,Return of the Jedi,2
3291034202,The Phantom Menace,6
3291034202,Attack of the Clones,5
3291034202,Revenge of the Sith,4
3291034202,A New Hope,2
3291034202,The Empire Strikes Back,1
3291034202,Return of the Jedi,3
3291028446,The Phantom Menace,6
3291028446,Attack of the Clones,5
3291028446,Revenge of the Sith,4
3291028446,A New Hope,2
3291028446,The Empire Strikes Back,1
3291028446,Return of the Jedi,3
3291024297,The Phantom Menace,6
3291024297,Attack of the Clones,5
3291024297,Revenge of the Sith,4
3291024297,A New Hope,2
3291024297,The Empire Strikes Back,1
3291024297,Return of the Jedi,3
3291023456,The Phantom Menace,6
3291023456,Attack of the Clones,2
3291023456,Revenge of the Sith,1
3291023456,A New Hope,4
3291023456,The Empire Strikes Back,5
3291023456,Return of the Jedi,3
3291019033,The Phantom Menace,1
3291019033,Attack of the Clones,5
3291019033,Revenge of the Sith,2
3291019033,A New Hope,3
3291019033,The Empire Strikes Back,4
3291019033,Return of the Jedi,6
3291014757,The Phantom Menace,6
3291014757,Attack of the Clones,3
3291014757,Revenge of the Sith,4
3291014757,A New Hope,5
3291014757,The Empire Strikes Back,2
3291014757,Return of the Jedi,1
3291007877,The Phantom Menace,5
3291007877,Attack of the Clones,6
3291007877,Revenge of the Sith,4
3291007877,A New Hope,1
3291007877,The Empire Strikes Back,2
3291007877,Return of the Jedi,3
3290996933,The Phantom Menace,4
3290996933,Attack of the Clones,5
3290996933,Revenge of the Sith,6
3290996933,A New Hope,2
3290996933,The Empire Strikes Back,1
3290996933,Return of the Jedi,3
3290987996,The Phantom Menace,6
3290987996,Attack of the Clones,2
3290987996,Revenge of the Sith,4
3290987996,A New Hope,3
3290987996,The Empire Strikes Back,1
3290987996,Return of the Jedi,5
3290977827,The Phantom Menace,3
3290977827,Attack of the Clones,4
3290977827,Revenge of the Sith,5
3290977827,A New Hope,6
3290977827,The Empire Strikes Back,1
3290977827,Return of the Jedi,2
3290975724,The Phantom Menace,1
3290975724,Attack of the Clones,2
3290975724,Revenge of the Sith,3
3290975724,A New Hope,4
3290975724,The Empire Strikes Back,5
3290975724,Return of the Jedi,6
3290973695,The Phantom Menace,5
3290973695,Attack of the Clones,4
3290973695,Revenge of the Sith,6
3290973695,A New Hope,2
3290973695,The Empire Strikes Back,3
3290973695,Return of the Jedi,1
3290972257,The Phantom Menace,4
3290972257,Attack of the Clones,5
3290972257,Revenge of the Sith,6
3290972257,A New Hope,1
